text,label
"Government announces new education policy for schools",REAL
"Scientists discover a new method to improve solar energy efficiency",REAL
"Local authorities launch a campaign to improve road safety",REAL
"New hospital facility opens to provide better healthcare services",REAL
"Researchers publish a study about climate change impacts",REAL
"Breaking news aliens have secretly taken control of the government",FAKE
"Miracle fruit can cure every disease instantly without medicine",FAKE
"Scientists confirm humans can survive without food for ten years",FAKE
"Secret government chip is controlling every person's mind",FAKE
"Drinking one special juice makes people invisible",FAKE
